latitude,longitude,title,thumbnail_url
34.04484,-118.52487,Palisades Branch Library,https://friendsofpalilibrary.org//library-images/library34.jpg
34.01958,-118.49334,Santa Monica Public Library,https://smpl.org/uploadedImages/Library/Library_images/MainLibrarySMBEntrance.jpg
34.07419,-118.39962,Beverly Hills Public Library,https://upload.wikimedia.org/wikipedia/commons/4/40/BeverlyHillsPublicLibrary.jpg
33.96908,-118.35403,Inglewood Public Library,https://calisphere.org/clip/500x500/70bf3c80a9589def5fcb863054b41ad8
34.05718,-118.25565,Los Angeles Central Library,https://www.discoverlosangeles.com/sites/default/files/images/2019-04/Central%20Library%20DTLA%20exterior.jpg?width=1600&height=1200&fit=crop&quality=78&auto=webp
34.01967,-118.30824,Los Angeles Public Library,https://i.pinimg.com/originals/63/38/8e/63388eeea5c6ac04fb063add6c5f8a0d.jpg
34.0769,-118.31131,Wilshire Branch Library,https://s3-media4.fl.yelpcdn.com/bphoto/WG4T5IvMenfSIfIyh6CAqQ/o.jpg
33.99512,-118.32279,Angeles Mesa Branch Library,https://upload.wikimedia.org/wikipedia/commons/7/7c/Angeles_Mesa_Branch_Library%2C_Los_Angeles.JPG
34.11398,-118.18636,Arroyo Seco Regional Branch Library,https://pics.cdn.librarything.com//picsizes/d8/81/d881be2c4c26e076376346a68414259416c6743_v5.jpg
34.09126,-118.28893,Cahuenga Branch Library,https://upload.wikimedia.org/wikipedia/commons/a/a6/Cahuenga_branch_los_angeles_public_library.jpg
34.06077,-118.24103,Chinatown Branch Library,https://www.som.com/FILE/23306/chinatownlibrary_1575x900_jonmiller_hedrichblessing_01jpg.jpg
34.13779,-118.21344,Eagle Rock Branch Library,https://librarytechnology.org/photos-libraries/15110.jpg
34.07193,-118.35361,Fairfax Branch Library,https://i.pinimg.com/originals/4a/cd/d8/4acdd8a9e57501a5e7c3daaa1ebd4156.jpg
34.07633,-118.21395,Lincoln Heights Branch Library,https://upload.wikimedia.org/wikipedia/commons/a/a7/Lincoln_Heights_Branch_Library%2C_Los_Angeles.JPG
34.16582,-118.37946,North Hollywood Amelia Earhart Regional Library,https://live.staticflickr.com/8103/8519363647_520e43db94_b.jpg
34.15087,-118.40557,Studio City Branch Library,https://librarytechnology.org/photos-libraries/15140.jpg
33.98795,-118.46505,Venice - Abbot Kinney Memorial Branch Library,https://images.venicepaparazzi.com/2010/09/4558223439_da0d7ddc3f1.jpg
34.05814,-118.44189,Westwood Branch Library,https://upload.wikimedia.org/wikipedia/commons/a/a5/Westwood_Branch_Library.JPG
33.73588,-118.29257,San Pedro Regional Library,https://librarytechnology.org/photos-libraries/15138.jpg
33.78918,-118.26274,Wilmington Branch Library,https://lh3.googleusercontent.com/proxy/FqkRQ_vSH6bubwABvDqlZ48jMUEle3wb3y_OkOj7LT7zus3TZHoXKOt9qckDAuVEjlaafLbKYWiHcRzKvP-58jQYfhxptX0ow2XX59Qil9s66gVOHkzvqRbPCIKhspA
33.80711,-118.30725,Harbor City - Harbor Gateway Branch Library,https://i1.wp.com/publiclibraryjourney.com/wp-content/uploads/2019/07/img_5491-1.jpg?resize=723%2C542&ssl=1
